Number of data points:1200
Instance 1
Method Accuracy FPR RMSE 
Lasso       0.98 0.8327645051194539 7.85680073423032
rLasso      0.92 0.54 7.68542238522169
MCP         0.96 0.6756756756756757 7.675564838015282
fs          0.86 0.1568627450980392 7.838167028224354
r1fs        0.86 0.1568627450980392 7.634164274717209
r2fs        0.86 0.1568627450980392 7.634164274717209
L0Learn     0.82 0.31666666666666665 8.199598891328902
L0L1Learn   0.86 0.12244897959183673 7.644607736284561
L0L2Learn   0.88 0.2542372881355932 7.6936212386525975
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.96 0.8485804416403786 8.453705110927556
rLasso      0.92 0.6642335766423357 8.340103978777963
MCP         0.88 0.696551724137931 8.163202516822253
fs          0.6 0.3023255813953488 8.482656591006114
r1fs        0.66 0.3888888888888889 8.400348214695487
r2fs        0.66 0.3888888888888889 8.400348214695487
L0Learn     0.56 0.37777777777777777 8.938581884968304
L0L1Learn   0.78 0.22 8.071629709678222
L0L2Learn   0.8 0.23076923076923078 7.995400368742084
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.9 0.8732394366197183 8.766945138577821
rLasso      0.68 0.6458333333333334 8.778041503324097
MCP         0.84 0.75 8.48831813721065
fs          0.7 0.125 8.319984752148484
r1fs        0.7 0.125 8.327365788127794
r2fs        0.7 0.125 8.327365788127794
L0Learn     0.48 0.3333333333333333 9.213223125875304
L0L1Learn   0.72 0.34545454545454546 8.418526007475936
L0L2Learn   0.7 0.43548387096774194 8.646081927486813
Instance 4
Method Accuracy FPR RMSE 
Lasso       0.98 0.8595988538681948 7.977036351976083
rLasso      0.84 0.5 7.891324228479862
MCP         0.84 0.5882352941176471 7.878565765620471
fs          0.72 0.16279069767441862 7.909237536388299
r1fs        0.76 0.2962962962962963 7.783914862710198
r2fs        0.76 0.2962962962962963 7.783914862710198
L0Learn     0.78 0.15217391304347827 7.831652000310278
L0L1Learn   0.78 0.2641509433962264 7.740681019760117
L0L2Learn   0.84 0.17647058823529413 7.477601077682087
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.94 0.8199233716475096 8.396749573528878
rLasso      0.86 0.6160714285714286 8.226678221912879
MCP         0.8 0.6747967479674797 8.327349522546958
fs          0.52 0.2571428571428571 8.66978189303935
r1fs        0.6 0.3877551020408163 8.439623041799354
r2fs        0.6 0.3877551020408163 8.439623041799354
L0Learn     0.6 0.375 8.741843456362016
L0L1Learn   0.84 0.27586206896551724 7.954574934945833
L0L2Learn   0.8 0.2727272727272727 8.034168689752505
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.94 0.8562691131498471 8.626499705553174
rLasso      0.82 0.6132075471698113 8.453437271745443
MCP         0.86 0.6814814814814815 8.24410828714482
fs          0.76 0.2692307692307692 8.137440524929946
r1fs        0.76 0.2692307692307692 8.106027613159869
r2fs        0.76 0.2692307692307692 8.106027613159869
L0Learn     0.74 0.2127659574468085 8.141532423179678
L0L1Learn   0.82 0.26785714285714285 7.990151382544585
L0L2Learn   0.84 0.3225806451612903 8.130809685187195
Instance 7
Method Accuracy FPR RMSE 
Lasso       0.92 0.8181818181818182 8.518875101445285
rLasso      0.84 0.4246575342465753 8.205524159953034
MCP         0.84 0.6379310344827587 8.225470005454513
fs          0.78 0.09302325581395349 8.153370551092253
r1fs        0.78 0.09302325581395349 8.123440554140513
r2fs        0.78 0.09302325581395349 8.123440554140513
L0Learn     0.8 0.16666666666666666 8.217356956258069
L0L1Learn   0.78 0.09302325581395349 8.132874065452453
L0L2Learn   0.8 0.06976744186046512 8.069222049364368
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.98 0.8366666666666667 8.594653642813247
rLasso      0.88 0.65625 8.631645823344474
MCP         0.92 0.695364238410596 8.27377095507755
fs          0.84 0.125 7.998425488345938
r1fs        0.84 0.125 7.919456311322798
r2fs        0.84 0.125 7.919456311322798
L0Learn     0.88 0.2413793103448276 8.087641087704627
L0L1Learn   0.84 0.06666666666666667 7.871529087783621
L0L2Learn   0.9 0.16666666666666666 7.8404300908425
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.98 0.850609756097561 8.323318535954764
rLasso      0.88 0.47619047619047616 8.239452053622875
MCP         0.9 0.6564885496183206 8.255480545996132
fs          0.78 0.15217391304347827 8.312162897848303
r1fs        0.8 0.1836734693877551 8.157208111619985
r2fs        0.8 0.1836734693877551 8.157208111619985
L0Learn     0.7 0.125 8.63038466185938
L0L1Learn   0.8 0.1111111111111111 8.143314236020501
L0L2Learn   0.78 0.025 8.02281771338436
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.82 0.8610169491525423 8.165167857456396
rLasso      0.66 0.5657894736842105 8.152643500228223
MCP         0.76 0.7121212121212122 8.055341171221716
fs          0.76 0.2549019607843137 7.711696357131281
r1fs        0.76 0.2549019607843137 7.634761114008177
r2fs        0.76 0.2549019607843137 7.634761114008177
L0Learn     0.64 0.21951219512195122 8.076957778088062
L0L1Learn   0.66 0.1951219512195122 7.928387955201965
L0L2Learn   0.66 0.10810810810810811 7.836767299951213
Average
 Method Accuracy FPR RMSE
Lasso         0.9400000000000001 0.845685091214369 8.367975175246354
rLasso        0.8299999999999998 0.5702233369838171 8.260427312661054
MCP           0.86 0.6768645958013102 8.158717174511034
fs            0.732 0.18984517801831785 8.153292362015431
r1fs          0.752 0.22806324875408324 8.052630988630138
r2fs          0.752 0.22806324875408324 8.052630988630138
L0Learn       0.7 0.252027582040151 8.40787722659346
L0L1Learn     0.788 0.19616966650765122 7.989627613514782
L0L2Learn     0.8 0.20618111126316627 7.974692014104574
