Number of data points:800
Instance 1
Method Accuracy FPR RMSE 
Lasso       0.78 0.8668941979522184 8.87486499833826
rLasso      0.78 0.8296943231441049 8.924233746123999
MCP         0.68 0.6699029126213593 8.787572045049
fs          0.42 0.25 9.170873096661452
r1fs        0.56 0.6585365853658537 8.87268792775718
r2fs        0.44 0.7317073170731707 10.813584887874534
L0Learn     0.14 0.0 9.52658331925519
L0L1Learn   0.64 0.6404494382022472 8.906321061070685
L0L2Learn   0.64 0.5949367088607594 9.01820497919152
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.78 0.8361344537815126 8.608216755603614
rLasso      0.76 0.7285714285714285 8.663899578174696
MCP         0.66 0.7203389830508474 8.524055358746674
fs          0.34 0.34615384615384615 9.227572669566724
r1fs        0.62 0.651685393258427 8.619583596744883
r2fs        0.56 0.6853932584269663 10.068617812075713
L0Learn     0.08 0.0 9.673323795534484
L0L1Learn   0.6 0.5081967213114754 8.730500089171786
L0L2Learn   0.62 0.40384615384615385 8.553154050536193
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.78 0.8792569659442725 8.971476392896449
rLasso      0.7 0.779874213836478 8.883753774266783
MCP         0.66 0.7461538461538462 8.923514094879572
fs          0.24 0.2 9.716209369883872
r1fs        0.48 0.7142857142857143 9.215983107803634
r2fs        0.44 0.7380952380952381 9.821796071101831
L0Learn     0.24 0.2 9.707527538386286
L0L1Learn   0.6 0.4915254237288136 9.005503598650941
L0L2Learn   0.64 0.5362318840579711 8.857581969702839
Instance 4
Method Accuracy FPR RMSE 
Lasso       0.86 0.8837837837837837 8.712598930331989
rLasso      0.86 0.8689024390243902 8.706634071132092
MCP         0.68 0.5641025641025641 8.927485050414603
fs          0.1 0.0 9.761562177485345
r1fs        0.44 0.6901408450704225 9.257015944402124
r2fs        0.32 0.7746478873239436 10.482306501962977
L0Learn     0.04 0.0 9.874085993860067
L0L1Learn   0.74 0.6262626262626263 8.744059336440694
L0L2Learn   0.68 0.569620253164557 8.964054127783122
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.66 0.8782287822878229 8.947189140872275
rLasso      0.64 0.762962962962963 8.933933175060666
MCP         0.52 0.7263157894736842 8.969408546090596
fs          0.22 0.42105263157894735 9.479684445272104
r1fs        0.4 0.7701149425287356 9.099838761657326
r2fs        0.36 0.7931034482758621 10.784309855399677
L0Learn     0.24 0.3684210526315789 9.493705137984534
L0L1Learn   0.5 0.6153846153846154 8.930621004082548
L0L2Learn   0.48 0.5636363636363636 9.102933616796534
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.74 0.8495934959349594 8.720961286261966
rLasso      0.7 0.75177304964539 8.671155941726623
MCP         0.66 0.6886792452830188 8.633774551635224
fs          0.18 0.4 9.392516645960123
r1fs        0.42 0.6956521739130435 8.909958875997823
r2fs        0.36 0.7391304347826086 10.562252536831204
L0Learn     0.14 0.125 9.443935666351818
L0L1Learn   0.6 0.5238095238095238 8.718048517998339
L0L2Learn   0.56 0.6666666666666666 9.01718574114347
Instance 7
Method Accuracy FPR RMSE 
Lasso       0.86 0.8407407407407408 8.448451172562523
rLasso      0.88 0.8523489932885906 8.449337909990597
MCP         0.7 0.7131147540983607 8.49467002299542
fs          0.48 0.4 9.21277881377552
r1fs        0.5 0.4186046511627907 8.624138144961663
r2fs        0.5 0.4186046511627907 8.624138144961663
L0Learn     0.26 0.13333333333333333 9.154675165713133
L0L1Learn   0.6 0.6341463414634146 8.546203222515876
L0L2Learn   0.66 0.47619047619047616 8.935196213151633
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.66 0.8658536585365854 9.104889987969775
rLasso      0.56 0.7171717171717171 9.08354494173634
MCP         0.48 0.7473684210526316 9.218041082349119
fs          0.34 0.32 9.77560193460109
r1fs        0.36 0.7049180327868853 9.450369925465054
r2fs        0.34 0.7213114754098361 10.168624139348394
L0Learn     0.14 0.2222222222222222 9.898404124455096
L0L1Learn   0.5 0.6527777777777778 9.196950896874455
L0L2Learn   0.54 0.5645161290322581 9.168511490703159
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.9 0.8580441640378549 8.636551214895775
rLasso      0.62 0.48333333333333334 8.657537976828852
MCP         0.74 0.6890756302521008 8.589206075764618
fs          0.32 0.4074074074074074 9.420450953897221
r1fs        0.4 0.6721311475409836 8.975143051301426
r2fs        0.4 0.6721311475409836 10.22104930815101
L0Learn     0.38 0.3870967741935484 9.623279610546453
L0L1Learn   0.6 0.5161290322580645 8.828801705958211
L0L2Learn   0.6 0.4444444444444444 8.691282235070208
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.84 0.86 8.518187900115054
rLasso      0.72 0.6470588235294118 8.590404752948077
MCP         0.74 0.6262626262626263 8.508165013942923
fs          0.46 0.425 9.367351138571443
r1fs        0.52 0.49019607843137253 8.670901850831951
r2fs        0.52 0.49019607843137253 8.670901850831951
L0Learn     0.48 0.3333333333333333 9.486787724294652
L0L1Learn   0.6 0.4915254237288136 8.558514070503781
L0L2Learn   0.66 0.42105263157894735 8.50889255741085
Average
 Method Accuracy FPR RMSE
Lasso         0.786 0.8618530242999751 8.754338777984767
rLasso        0.7220000000000001 0.7421691284507808 8.756443586798872
MCP           0.6520000000000001 0.689131477235104 8.757589184186775
fs            0.30999999999999994 0.31696138851402006 9.452460124567489
r1fs          0.4699999999999999 0.6466265564344228 8.969562118692306
r2fs          0.42400000000000004 0.6764320936522772 10.021758110853895
L0Learn       0.21400000000000002 0.17694067157140164 9.588230807638173
L0L1Learn     0.598 0.5700206923927371 8.816552350326731
L0L2Learn     0.608 0.5241141711478597 8.881699698148953
