Number of data points:1600
Instance 1
Method Accuracy FPR RMSE 
Lasso       1.0 0.8338870431893688 7.947473778643743
rLasso      0.9 0.375 7.608744391072844
MCP         0.9 0.6370967741935484 7.727078335844181
fs          0.86 0.1568627450980392 7.553286632004206
r1fs        0.86 0.1568627450980392 7.535612130023397
r2fs        0.86 0.1568627450980392 7.535612130023397
L0Learn     0.86 0.10416666666666667 7.597028551366497
L0L1Learn   0.96 0.04 7.320942303838782
L0L2Learn   0.94 0.04081632653061224 7.392612638700821
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.94 0.8833746898263027 8.122373884403514
rLasso      0.88 0.3230769230769231 7.781702480697518
MCP         0.92 0.6690647482014388 7.75695829001206
fs          0.94 0.04081632653061224 7.3575109548515725
r1fs        0.94 0.04081632653061224 7.354900127423422
r2fs        0.94 0.04081632653061224 7.354900127423422
L0Learn     0.92 0.061224489795918366 7.453477300090816
L0L1Learn   0.92 0.061224489795918366 7.431313977735809
L0L2Learn   0.92 0.061224489795918366 7.4164251469780655
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.96 0.8579881656804734 8.063515250712594
rLasso      0.86 0.4691358024691358 7.814166238590327
MCP         0.86 0.6928571428571428 7.721720692079897
fs          0.8 0.13043478260869565 7.510590277034953
r1fs        0.8 0.13043478260869565 7.5078693902188816
r2fs        0.8 0.13043478260869565 7.5078693902188816
L0Learn     0.88 0.10204081632653061 7.378417599991654
L0L1Learn   0.84 0.08695652173913043 7.433966961660902
L0L2Learn   0.84 0.08695652173913043 7.431941419373084
Instance 4
Method Accuracy FPR RMSE 
Lasso       1.0 0.868421052631579 7.941067130845637
rLasso      0.88 0.2903225806451613 7.757940832413685
MCP         0.96 0.6903225806451613 7.677807635830358
fs          0.86 0.1568627450980392 7.664064743693875
r1fs        0.86 0.1568627450980392 7.648217404284696
r2fs        0.86 0.1568627450980392 7.648217404284696
L0Learn     0.92 0.1320754716981132 7.719054088618135
L0L1Learn   0.96 0.22580645161290322 7.732612941976013
L0L2Learn   0.88 0.08333333333333333 7.689793102137759
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.98 0.868632707774799 8.005910651380221
rLasso      0.9 0.4155844155844156 7.805454159530072
MCP         0.9 0.7222222222222222 7.735720326301653
fs          0.92 0.09803921568627451 7.45957189523458
r1fs        0.92 0.11538461538461539 7.469559318635108
r2fs        0.92 0.11538461538461539 7.469559318635108
L0Learn     0.84 0.16 7.933937579196986
L0L1Learn   0.92 0.17857142857142858 7.603228119326029
L0L2Learn   0.92 0.1320754716981132 7.497063556059091
Instance 6
Method Accuracy FPR RMSE 
Lasso       1.0 0.8603351955307262 8.075230571390366
rLasso      0.98 0.4673913043478261 7.748702311035411
MCP         0.94 0.7080745341614907 7.726776901265201
fs          0.96 0.04 7.402630521943901
r1fs        0.96 0.04 7.402612415914814
r2fs        0.96 0.04 7.402612415914814
L0Learn     0.94 0.0784313725490196 7.541768526296934
L0L1Learn   0.94 0.020833333333333332 7.487504141899036
L0L2Learn   0.96 0.04 7.4610780136179375
Instance 7
Method Accuracy FPR RMSE 
Lasso       1.0 0.8734177215189873 8.032961461738964
rLasso      0.96 0.3924050632911392 7.735868350353293
MCP         0.96 0.6689655172413793 7.766123655024385
fs          0.92 0.041666666666666664 7.561003728640214
r1fs        0.92 0.041666666666666664 7.560903970877064
r2fs        0.92 0.041666666666666664 7.560903970877064
L0Learn     0.92 0.041666666666666664 7.62577636255781
L0L1Learn   0.96 0.09433962264150944 7.564914079956987
L0L2Learn   0.9 0.08163265306122448 7.64217439323941
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.98 0.8575581395348837 7.832315278448341
rLasso      0.88 0.2786885245901639 7.416012258544997
MCP         0.94 0.6845637583892618 7.501654915192923
fs          0.94 0.11320754716981132 7.27194404281706
r1fs        0.94 0.11320754716981132 7.2605827028475955
r2fs        0.94 0.11320754716981132 7.2605827028475955
L0Learn     0.9 0.0425531914893617 7.412391977458138
L0L1Learn   0.94 0.020833333333333332 7.239636036386298
L0L2Learn   0.94 0.020833333333333332 7.234602812935809
Instance 9
Method Accuracy FPR RMSE 
Lasso       1.0 0.8789346246973365 7.916570492017625
rLasso      0.94 0.265625 7.590824420005269
MCP         1.0 0.6987951807228916 7.587738167946914
fs          0.96 0.21311475409836064 7.664839871577991
r1fs        0.96 0.21311475409836064 7.606387788470984
r2fs        0.96 0.21311475409836064 7.606387788470984
L0Learn     0.94 0.17543859649122806 7.689411634789563
L0L1Learn   0.94 0.06 7.511451286273065
L0L2Learn   0.96 0.02040816326530612 7.466420137147848
Instance 10
Method Accuracy FPR RMSE 
Lasso       1.0 0.84472049689441 8.142688247033522
rLasso      0.82 0.24074074074074073 8.034451236037054
MCP         0.96 0.6065573770491803 7.859096718709249
fs          0.82 0.1276595744680851 7.807456911070328
r1fs        0.82 0.1276595744680851 7.801244248003167
r2fs        0.82 0.1276595744680851 7.801244248003167
L0Learn     0.8 0.13043478260869565 7.886644887121166
L0L1Learn   0.88 0.12 7.660155049144825
L0L2Learn   0.86 0.06521739130434782 7.6752008916761465
Average
 Method Accuracy FPR RMSE
Lasso         0.986 0.8627269837278867 8.008010674661453
rLasso        0.9 0.3517970354745506 7.729386667828047
MCP           0.9339999999999999 0.6778519835683717 7.7060675638206835
fs            0.898 0.11186643574245844 7.525289957886869
r1fs          0.898 0.11360097571229252 7.514788949669914
r2fs          0.898 0.11360097571229252 7.514788949669914
L0Learn       0.892 0.10280320542922006 7.623790850748769
L0L1Learn     0.9259999999999999 0.09085651810275566 7.498572489819774
L0L2Learn     0.9120000000000001 0.06324976840613193 7.4907312111865965
