Number of data points:1700
Instance 1
Method Accuracy FPR RMSE 
Lasso       1.0 0.8730964467005076 8.091796254573403
rLasso      0.94 0.4659090909090909 7.772519185369008
MCP         0.88 0.6879432624113475 7.746310903702144
fs          0.88 0.13725490196078433 7.570895100817096
r1fs        0.88 0.13725490196078433 7.565231576856253
r2fs        0.88 0.13725490196078433 7.565231576856253
L0Learn     0.9 0.1346153846153846 7.593694929060233
L0L1Learn   0.9 0.0625 7.4584335536643245
L0L2Learn   0.92 0.061224489795918366 7.393515687995718
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.98 0.8646408839779005 7.73639734729368
rLasso      0.94 0.36486486486486486 7.523581851033181
MCP         0.9 0.4642857142857143 7.609239731421288
fs          0.88 0.06382978723404255 7.431820581842841
r1fs        0.88 0.08333333333333333 7.440164899924966
r2fs        0.88 0.08333333333333333 7.440164899924966
L0Learn     0.9 0.0425531914893617 7.455551989785318
L0L1Learn   0.9 0.021739130434782608 7.361102530207321
L0L2Learn   0.9 0.021739130434782608 7.349518649589146
Instance 3
Method Accuracy FPR RMSE 
Lasso       1.0 0.8694516971279374 7.914872624624381
rLasso      0.94 0.3561643835616438 7.5696530757678095
MCP         0.92 0.6377952755905512 7.516646504273801
fs          0.92 0.061224489795918366 7.329456765046843
r1fs        0.92 0.061224489795918366 7.3273578232181436
r2fs        0.92 0.061224489795918366 7.3273578232181436
L0Learn     0.92 0.09803921568627451 7.387001020083718
L0L1Learn   0.92 0.09803921568627451 7.299553596580857
L0L2Learn   0.92 0.09803921568627451 7.2968591692212925
Instance 4
Method Accuracy FPR RMSE 
Lasso       0.96 0.8702702702702703 7.573208611078985
rLasso      0.88 0.26666666666666666 7.1508395422634345
MCP         0.9 0.7305389221556886 7.196418204994829
fs          0.88 0.06382978723404255 7.030629521363468
r1fs        0.88 0.06382978723404255 7.029940881275299
r2fs        0.88 0.06382978723404255 7.029940881275299
L0Learn     0.9 0.0425531914893617 6.960171592775798
L0L1Learn   0.92 0.041666666666666664 6.93402722148553
L0L2Learn   0.9 0.0 6.922883795156021
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.98 0.8733850129198967 8.08852377507454
rLasso      0.9 0.36619718309859156 7.705606663119499
MCP         0.92 0.7486338797814208 7.711854371433428
fs          0.86 0.12244897959183673 7.563274129680485
r1fs        0.86 0.12244897959183673 7.562083537948865
r2fs        0.86 0.12244897959183673 7.562083537948865
L0Learn     0.88 0.08333333333333333 7.498004034893333
L0L1Learn   0.88 0.08333333333333333 7.487655115824995
L0L2Learn   0.88 0.08333333333333333 7.501763288625421
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.96 0.852760736196319 7.867207749379151
rLasso      0.9 0.25 7.513214259396099
MCP         0.88 0.6106194690265486 7.589319962228942
fs          0.84 0.06666666666666667 7.498324498650486
r1fs        0.84 0.06666666666666667 7.493849612892555
r2fs        0.84 0.06666666666666667 7.493849612892555
L0Learn     0.82 0.06818181818181818 7.571460751742729
L0L1Learn   0.86 0.022727272727272728 7.478678456671587
L0L2Learn   0.86 0.044444444444444446 7.4667292766481275
Instance 7
Method Accuracy FPR RMSE 
Lasso       1.0 0.8493975903614458 7.705850077237293
rLasso      1.0 0.40476190476190477 7.356331325377899
MCP         0.98 0.644927536231884 7.292915834133432
fs          0.96 0.02040816326530612 6.966123692866434
r1fs        0.96 0.02040816326530612 6.967202557990259
r2fs        0.96 0.02040816326530612 6.967202557990259
L0Learn     0.98 0.0 6.931770141700189
L0L1Learn   0.98 0.0 6.9089642687948
L0L2Learn   0.96 0.04 6.990620120519237
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.98 0.8775 7.9855050038792195
rLasso      0.94 0.4050632911392405 7.799501781128607
MCP         1.0 0.6527777777777778 7.649005596994647
fs          0.92 0.08 7.505165209793031
r1fs        0.92 0.08 7.504645489876721
r2fs        0.92 0.08 7.504645489876721
L0Learn     0.96 0.058823529411764705 7.482649707343394
L0L1Learn   0.94 0.020833333333333332 7.445569218666845
L0L2Learn   0.98 0.10909090909090909 7.45623816664754
Instance 9
Method Accuracy FPR RMSE 
Lasso       1.0 0.8677248677248677 7.659174627859642
rLasso      0.96 0.2835820895522388 7.228840393338357
MCP         1.0 0.696969696969697 7.244976662408987
fs          0.98 0.0392156862745098 7.11970905200129
r1fs        0.98 0.0392156862745098 7.104816355941625
r2fs        0.98 0.0392156862745098 7.104816355941625
L0Learn     1.0 0.0196078431372549 7.069184701807308
L0L1Learn   1.0 0.0196078431372549 7.054634203982635
L0L2Learn   1.0 0.0196078431372549 7.0470445647776305
Instance 10
Method Accuracy FPR RMSE 
Lasso       1.0 0.8466257668711656 7.674766931149368
rLasso      0.96 0.36 7.4301875815591405
MCP         0.98 0.5585585585585585 7.359294851515257
fs          0.96 0.1111111111111111 7.197263658003988
r1fs        0.96 0.1111111111111111 7.183613440526427
r2fs        0.96 0.1111111111111111 7.183613440526427
L0Learn     0.98 0.125 7.202708053470601
L0L1Learn   0.98 0.09259259259259259 7.168153304541065
L0L2Learn   1.0 0.09090909090909091 7.155004648847377
Average
 Method Accuracy FPR RMSE
Lasso         0.986 0.864485327215031 7.829730300214966
rLasso        0.9359999999999999 0.3523209474554242 7.505027565835303
MCP           0.9360000000000002 0.6433050092789189 7.491598262310676
fs            0.9079999999999998 0.07659895731342181 7.321266221006596
r1fs          0.9079999999999998 0.07854931192335088 7.31789061764511
r2fs          0.9079999999999998 0.07854931192335088 7.31789061764511
L0Learn       0.9240000000000002 0.06727075073445536 7.315219692266261
L0L1Learn     0.9280000000000002 0.04630393879115106 7.259677147041995
L0L2Learn     0.932 0.056838845683200814 7.258017736802752
