Number of data points:600
Instance 1
Method Accuracy FPR RMSE 
Lasso       0.46 0.8486842105263158 9.19330999816236
rLasso      0.3 0.4827586206896552 9.27056043090875
MCP         0.34 0.7536231884057971 9.145621909742081
fs          0.08 0.0 9.720346407288016
r1fs        0.26 0.7636363636363637 9.303023102023438
r2fs        0.14 0.8727272727272727 10.278098616183158
L0Learn     0.08 0.0 9.714365733297777
L0L1Learn   0.26 0.13333333333333333 9.10965723119542
L0L2Learn   0.24 0.14285714285714285 9.121392373970576
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.48 0.8309859154929577 9.57003466196654
rLasso      0.36 0.7631578947368421 9.616238922061862
MCP         0.4 0.7222222222222222 9.62841324919549
fs          0.0 NaN 10.237735905928636
r1fs        0.22 0.7608695652173914 9.715873054568542
r2fs        0.1 0.8913043478260869 10.862777868739132
L0Learn     0.02 0.0 10.345917512710033
L0L1Learn   0.4 0.6666666666666666 9.589443026759147
L0L2Learn   0.36 0.6326530612244898 9.610994476140652
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.52 0.8539325842696629 9.638461944212544
rLasso      0.52 0.832258064516129 9.64652351363337
MCP         0.2 0.7297297297297297 9.83060966584596
fs          0.0 NaN 10.001353439867032
r1fs        0.02 0.5 9.90978789954001
r2fs        0.02 0.5 9.90978789954001
L0Learn     0.02 0.0 9.887148295209617
L0L1Learn   0.36 0.797752808988764 9.680829296158128
L0L2Learn   0.42 0.7857142857142857 9.740426413474149
Instance 4
Method Accuracy FPR RMSE 
Lasso       0.62 0.8729508196721312 9.365186035440544
rLasso      0.62 0.8634361233480177 9.36828477958926
MCP         0.46 0.7325581395348837 9.510462320136593
fs          0.04 0.0 10.377880694715113
r1fs        0.34 0.6666666666666666 9.686228844490316
r2fs        0.24 0.7647058823529411 10.64951796613117
L0Learn     0.04 0.0 10.37788069542975
L0L1Learn   0.44 0.7349397590361446 9.63407580558814
L0L2Learn   0.38 0.75 9.661055801965025
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.56 0.8755555555555555 8.754623446743045
rLasso      0.56 0.8571428571428571 8.762433173552818
MCP         0.42 0.65 8.963392313567518
fs          0.14 0.125 9.588926319266923
r1fs        0.26 0.6486486486486487 9.071226739407818
r2fs        0.26 0.6486486486486487 9.120603247103581
L0Learn     0.14 0.0 9.519972523126711
L0L1Learn   0.38 0.5777777777777777 8.891343298327683
L0L2Learn   0.46 0.7160493827160493 9.012171306540317
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.58 0.8806584362139918 9.591256628489504
rLasso      0.48 0.8344827586206897 9.521148777938537
MCP         0.42 0.6865671641791045 9.48717793616219
fs          0.0 NaN 10.057879229235205
r1fs        0.14 0.7941176470588235 9.771869320835544
r2fs        0.12 0.8235294117647058 10.228451974550188
L0Learn     0.08 0.0 10.010759996698724
L0L1Learn   0.46 0.7676767676767676 9.505698700635522
L0L2Learn   0.3 0.4642857142857143 9.53356734675563
Instance 7
Method Accuracy FPR RMSE 
Lasso       0.56 0.9320388349514563 9.490534748306747
rLasso      0.56 0.9278350515463918 9.514628254597385
MCP         0.28 0.851063829787234 9.444323906090847
fs          0.02 0.0 9.949367706597831
r1fs        0.16 0.68 9.494134932860629
r2fs        0.16 0.68 9.494134932860629
L0Learn     0.06 0.25 9.887371121971686
L0L1Learn   0.34 0.8247422680412371 9.337058012163046
L0L2Learn   0.3 0.8421052631578947 9.417660784210216
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.58 0.897887323943662 9.041286491887675
rLasso      0.56 0.8647342995169082 9.034897831402343
MCP         0.48 0.7391304347826086 9.069851612974231
fs          0.12 0.4 9.623954426666216
r1fs        0.34 0.6382978723404256 9.041179968153369
r2fs        0.34 0.6382978723404256 9.767924706150067
L0Learn     0.1 0.2857142857142857 9.491566666535542
L0L1Learn   0.4 0.6226415094339622 8.923945080891398
L0L2Learn   0.4 0.6 9.207776812304544
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.48 0.8095238095238095 9.550695143538164
rLasso      0.42 0.7469879518072289 9.557384384645406
MCP         0.24 0.7333333333333333 9.810946262270448
fs          0.0 NaN 10.07493819860732
r1fs        0.12 0.8461538461538461 9.887052577301159
r2fs        0.1 0.8717948717948718 10.129048233322752
L0Learn     0.02 0.0 10.16407097501544
L0L1Learn   0.44 0.7441860465116279 9.557653235106319
L0L2Learn   0.34 0.7424242424242424 9.597620290182121
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.6 0.8892988929889298 9.721105413968912
rLasso      0.6 0.8623853211009175 9.762306884406293
MCP         0.38 0.81 9.716335263126382
fs          0.04 0.0 9.849331165349087
r1fs        0.06 0.25 9.847548040079095
r2fs        0.06 0.25 9.847548040079095
L0Learn     0.04 0.0 9.84933116534998
L0L1Learn   0.34 0.8229166666666666 9.77614426493442
L0L2Learn   0.38 0.8020833333333334 9.770204955736896
Average
 Method Accuracy FPR RMSE
Lasso         0.5439999999999999 0.8691516383138472 9.391649451271604
rLasso        0.49799999999999994 0.8035178943025638 9.405440695273603
MCP           0.36199999999999993 0.7408228041974914 9.460713443911175
fs            0.044 0.08750000000000001 9.948171349352139
r1fs          0.19200000000000003 0.6548390609722164 9.572792447925991
r2fs          0.15400000000000003 0.6941008307454952 10.028789348465978
L0Learn       0.06000000000000001 0.05357142857142857 9.924838468534526
L0L1Learn     0.38199999999999995 0.6692633604132948 9.400584795175922
L0L2Learn     0.35799999999999993 0.6478172425713151 9.467287056128013
