Number of data points:1900
Instance 1
Method Accuracy FPR RMSE 
Lasso       1.0 0.8422712933753943 7.895834908302866
rLasso      0.92 0.34285714285714286 7.6070993661278825
MCP         0.98 0.6818181818181818 7.437718557734849
fs          0.92 0.061224489795918366 7.348940541620585
r1fs        0.92 0.061224489795918366 7.354706914247487
r2fs        0.92 0.061224489795918366 7.354706914247487
L0Learn     0.96 0.09433962264150944 7.370050193577047
L0L1Learn   0.98 0.09259259259259259 7.279896070007054
L0L2Learn   0.98 0.09259259259259259 7.274207776213973
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.98 0.8496932515337423 7.849507553189535
rLasso      0.94 0.32857142857142857 7.279599097413054
MCP         0.98 0.6754966887417219 7.3396095444078755
fs          0.96 0.058823529411764705 7.087017055492207
r1fs        0.96 0.058823529411764705 7.101271374821009
r2fs        0.96 0.058823529411764705 7.101271374821009
L0Learn     0.94 0.04081632653061224 7.175179896926323
L0L1Learn   0.94 0.04081632653061224 7.120769590099253
L0L2Learn   0.96 0.12727272727272726 7.200949543888381
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.98 0.8627450980392157 7.9845099928604055
rLasso      0.94 0.21666666666666667 7.517756595169672
MCP         0.96 0.6363636363636364 7.49894419548541
fs          0.92 0.11538461538461539 7.4735330168200464
r1fs        0.92 0.11538461538461539 7.466626620819929
r2fs        0.92 0.11538461538461539 7.466626620819929
L0Learn     0.92 0.09803921568627451 7.504941616674057
L0L1Learn   0.94 0.0784313725490196 7.422269330868849
L0L2Learn   0.94 0.0784313725490196 7.417348660335993
Instance 4
Method Accuracy FPR RMSE 
Lasso       1.0 0.8644986449864499 7.657062418777472
rLasso      0.9 0.23728813559322035 7.419042386899643
MCP         0.94 0.6016949152542372 7.366056403537059
fs          0.98 0.02 7.144771188633099
r1fs        0.98 0.02 7.14389415131791
r2fs        0.98 0.02 7.14389415131791
L0Learn     0.98 0.02 7.182943519051851
L0L1Learn   0.96 0.04 7.217678359605008
L0L2Learn   0.98 0.02 7.147335205327428
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.94 0.8265682656826568 7.485969263781626
rLasso      0.92 0.41025641025641024 7.032146247723222
MCP         0.9 0.5754716981132075 7.165075413926658
fs          0.9 0.021739130434782608 6.892752981150687
r1fs        0.9 0.021739130434782608 6.893716845261172
r2fs        0.9 0.021739130434782608 6.893716845261172
L0Learn     0.88 0.12 7.101588104330687
L0L1Learn   0.9 0.021739130434782608 6.893429133098871
L0L2Learn   0.9 0.021739130434782608 6.890624767821013
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.98 0.8730569948186528 7.888887861002242
rLasso      0.88 0.21428571428571427 7.645921772499259
MCP         0.98 0.7167630057803468 7.460470723682476
fs          1.0 0.07407407407407407 7.292251329804219
r1fs        1.0 0.07407407407407407 7.284642328728161
r2fs        1.0 0.07407407407407407 7.284642328728161
L0Learn     1.0 0.07407407407407407 7.296507449907444
L0L1Learn   0.98 0.07547169811320754 7.343626437227751
L0L2Learn   0.98 0.07547169811320754 7.341137970195582
Instance 7
Method Accuracy FPR RMSE 
Lasso       1.0 0.8502994011976048 7.781664374696434
rLasso      0.98 0.2222222222222222 7.490977766385139
MCP         1.0 0.6296296296296297 7.47016765919749
fs          0.98 0.0392156862745098 7.378781699426956
r1fs        0.98 0.0392156862745098 7.373688620201698
r2fs        0.98 0.0392156862745098 7.373688620201698
L0Learn     1.0 0.0 7.317700799267709
L0L1Learn   1.0 0.038461538461538464 7.341687383340695
L0L2Learn   1.0 0.038461538461538464 7.341300978491147
Instance 8
Method Accuracy FPR RMSE 
Lasso       1.0 0.8168498168498168 7.902149107169332
rLasso      0.96 0.2 7.583584002598877
MCP         0.98 0.6597222222222222 7.5383896573616145
fs          0.94 0.0784313725490196 7.520544665197247
r1fs        0.94 0.0784313725490196 7.52875100058217
r2fs        0.94 0.0784313725490196 7.52875100058217
L0Learn     0.96 0.09433962264150944 7.525057203727667
L0L1Learn   0.96 0.04 7.4415466344066195
L0L2Learn   0.96 0.04 7.4448053802631105
Instance 9
Method Accuracy FPR RMSE 
Lasso       1.0 0.888641425389755 7.804446927495113
rLasso      0.92 0.23333333333333334 7.5768733981174075
MCP         0.96 0.7272727272727273 7.446562800568862
fs          0.96 0.04 7.312641528997169
r1fs        0.96 0.04 7.311224984188068
r2fs        0.96 0.04 7.311224984188068
L0Learn     0.94 0.06 7.392281706447382
L0L1Learn   0.98 0.02 7.260901759999776
L0L2Learn   0.98 0.02 7.260849305962591
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.98 0.8403908794788274 7.801826023596702
rLasso      0.88 0.22807017543859648 7.466573669300163
MCP         0.94 0.7329545454545454 7.5676840848487865
fs          0.92 0.041666666666666664 7.2874903807537
r1fs        0.92 0.041666666666666664 7.287290686318109
r2fs        0.92 0.041666666666666664 7.287290686318109
L0Learn     0.92 0.041666666666666664 7.359728904344406
L0L1Learn   0.9 0.0625 7.336744377482818
L0L2Learn   0.94 0.020833333333333332 7.299387180704033
Average
 Method Accuracy FPR RMSE
Lasso         0.9860000000000001 0.8515015071352116 7.8051858430871714
rLasso        0.9240000000000002 0.2633551229224735 7.461957430223431
MCP           0.962 0.6637187250650456 7.429067904075109
fs            0.9479999999999998 0.055055956459135115 7.273872438789591
r1fs          0.9479999999999998 0.055055956459135115 7.27458135264857
r2fs          0.9479999999999998 0.055055956459135115 7.27458135264857
L0Learn       0.95 0.06432755282406463 7.322597939425458
L0L1Learn     0.954 0.051001265868175306 7.2658549076136705
L0L2Learn     0.962 0.05348023927572013 7.261794676920326
