Number of data points:700
Instance 1
Method Accuracy FPR RMSE 
Lasso       0.68 0.8666666666666667 9.269470102568416
rLasso      0.68 0.8461538461538461 9.273661587753915
MCP         0.46 0.7325581395348837 9.411187196888886
fs          0.02 0.0 9.865532075219715
r1fs        0.26 0.6578947368421053 9.558560881397124
r2fs        0.26 0.6578947368421053 9.558560881397124
L0Learn     0.02 0.0 9.865532075219715
L0L1Learn   0.44 0.7066666666666667 9.34392451398556
L0L2Learn   0.42 0.671875 9.462673187127637
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.56 0.8469945355191257 9.15423888995649
rLasso      0.52 0.7936507936507936 9.160058635610682
MCP         0.3 0.7887323943661971 9.330548682880174
fs          0.16 0.2727272727272727 9.88920173772943
r1fs        0.18 0.35714285714285715 9.348070063535658
r2fs        0.18 0.35714285714285715 9.348070063535658
L0Learn     0.16 0.2727272727272727 9.867834669263873
L0L1Learn   0.44 0.7659574468085106 9.130664119419453
L0L2Learn   0.32 0.673469387755102 9.11663903679621
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.7 0.8464912280701754 9.048849237354569
rLasso      0.66 0.8216216216216217 9.051532702775441
MCP         0.52 0.7263157894736842 9.262041082054647
fs          0.1 0.4444444444444444 9.713243346288788
r1fs        0.3 0.7727272727272727 9.351799833785249
r2fs        0.26 0.803030303030303 10.527073050688646
L0Learn     0.02 0.5 9.685033737878394
L0L1Learn   0.5 0.7368421052631579 9.183900237051457
L0L2Learn   0.46 0.6290322580645161 9.235444934759201
Instance 4
Method Accuracy FPR RMSE 
Lasso       0.66 0.8290155440414507 9.230801022744176
rLasso      0.66 0.8290155440414507 9.230373154791073
MCP         0.48 0.7209302325581395 9.195302525734018
fs          0.22 0.3125 9.96429437939217
r1fs        0.32 0.5 9.22581544499047
r2fs        0.32 0.5 9.22581544499047
L0Learn     0.3 0.25 9.649918413692877
L0L1Learn   0.36 0.5384615384615384 9.222049488774488
L0L2Learn   0.38 0.5681818181818182 9.24485869647521
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.52 0.844311377245509 9.314527219873023
rLasso      0.28 0.44 9.440844065077886
MCP         0.4 0.7222222222222222 9.470509975411177
fs          0.1 0.0 9.850461665386668
r1fs        0.2 0.6774193548387096 9.653844087637033
r2fs        0.2 0.6774193548387096 9.653844087637033
L0Learn     0.1 0.0 9.83759430217667
L0L1Learn   0.38 0.6779661016949152 9.333409294395999
L0L2Learn   0.3 0.4827586206896552 9.376017797173608
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.68 0.7951807228915663 9.314005686405842
rLasso      0.68 0.7951807228915663 9.317425067539071
MCP         0.46 0.6349206349206349 9.381125510400338
fs          0.04 0.3333333333333333 9.992729843912096
r1fs        0.36 0.5384615384615384 9.401857534870786
r2fs        0.36 0.5384615384615384 10.321897238333595
L0Learn     0.02 0.5 10.030394796669537
L0L1Learn   0.58 0.6741573033707865 9.315325054089255
L0L2Learn   0.46 0.4523809523809524 9.294261600305866
Instance 7
Method Accuracy FPR RMSE 
Lasso       0.54 0.8421052631578947 8.848625690869737
rLasso      0.42 0.6557377049180327 8.873591925573216
MCP         0.48 0.7419354838709677 8.920641131521437
fs          0.0 NaN 9.538179175231008
r1fs        0.24 0.7446808510638298 9.097617420090545
r2fs        0.16 0.8297872340425532 9.741939896754172
L0Learn     0.06 0.0 9.510511527964928
L0L1Learn   0.36 0.6727272727272727 8.947541303015601
L0L2Learn   0.26 0.6388888888888888 8.976023808835699
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.74 0.8377192982456141 9.326146293006408
rLasso      0.72 0.8043478260869565 9.356797577108484
MCP         0.58 0.6588235294117647 9.279270900651065
fs          0.16 0.0 9.974151058129756
r1fs        0.44 0.6986301369863014 9.416496939932221
r2fs        0.26 0.821917808219178 10.872271114749715
L0Learn     0.36 0.41935483870967744 10.361751769300792
L0L1Learn   0.56 0.5172413793103449 9.344203874170663
L0L2Learn   0.58 0.5396825396825397 9.417144039722151
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.54 0.8656716417910447 9.35753052761614
rLasso      0.56 0.8813559322033898 9.367444505514527
MCP         0.4 0.7849462365591398 9.384100692820528
fs          0.04 0.0 9.838776725161598
r1fs        0.24 0.8309859154929577 9.567559330320385
r2fs        0.22 0.8450704225352113 10.326371308450327
L0Learn     0.04 0.0 9.838776716218469
L0L1Learn   0.38 0.4411764705882353 9.506763648030635
L0L2Learn   0.26 0.5 9.474991881645973
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.68 0.8645418326693227 9.149823402853956
rLasso      0.68 0.8433179723502304 9.16039405021038
MCP         0.52 0.7373737373737373 9.21430549973928
fs          0.1 0.2857142857142857 10.024727652275212
r1fs        0.36 0.6470588235294118 9.376931080712112
r2fs        0.14 0.8627450980392157 10.329217736867104
L0Learn     0.1 0.2857142857142857 10.070396476218157
L0L1Learn   0.24 0.3684210526315789 9.42860780639375
L0L2Learn   0.34 0.43333333333333335 9.393896146705499
Average
 Method Accuracy FPR RMSE
Lasso         0.63 0.843869811029837 9.201401807324874
rLasso        0.5860000000000001 0.7710381963917887 9.223212327195467
MCP           0.45999999999999996 0.7248758400291371 9.284903319810155
fs            0.094 0.18319103735770403 9.865129765872643
r1fs          0.29 0.6425001487084984 9.399855261727158
r2fs          0.23600000000000004 0.6893469353151671 9.990506082340385
L0Learn       0.11800000000000002 0.2227796397151236 9.87177444846034
L0L1Learn     0.42399999999999993 0.6099617337523008 9.275638933932687
L0L2Learn     0.378 0.5589602798976806 9.299195112954704
