Number of data points:500
Instance 1
Method Accuracy FPR RMSE 
Lasso       0.3 0.8314606741573034 9.541916801862826
rLasso      0.06 0.25 9.610380958448594
MCP         0.08 0.6923076923076923 9.633174122694099
fs          0.02 0.0 9.7744279946693
r1fs        0.08 0.2 9.605205649271236
r2fs        0.08 0.2 9.605205649271236
L0Learn     0.02 0.0 9.7744279946693
L0L1Learn   0.08 0.2 9.62005279420833
L0L2Learn   0.34 0.8152173913043478 9.516627588700949
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.36 0.8235294117647058 9.97979321179528
rLasso      0.26 0.6060606060606061 9.942388282921083
MCP         0.22 0.6451612903225806 9.94421525251877
fs          0.0 NaN 10.431287488646088
r1fs        0.1 0.7368421052631579 10.123342283126687
r2fs        0.04 0.8947368421052632 10.511488171902856
L0Learn     0.02 0.0 10.275483404697734
L0L1Learn   0.34 0.7901234567901234 9.989682491066539
L0L2Learn   0.28 0.6888888888888889 10.036076387342531
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.5 0.8853211009174312 9.805674177628182
rLasso      0.5 0.8853211009174312 9.862343376976318
MCP         0.24 0.8064516129032258 9.926922205176655
fs          0.02 0.0 10.350307361347024
r1fs        0.22 0.7317073170731707 9.924267945927667
r2fs        0.06 0.926829268292683 10.532341117942186
L0Learn     0.02 0.0 10.350307361347024
L0L1Learn   0.32 0.8181818181818182 9.862523692200467
L0L2Learn   0.3 0.8214285714285714 10.01799518929967
Instance 4
Method Accuracy FPR RMSE 
Lasso       0.42 0.8846153846153846 9.622251979866961
rLasso      0.4 0.8581560283687943 9.656007106131067
MCP         0.34 0.7875 9.62731861249612
fs          0.14 0.125 9.822421006846538
r1fs        0.18 0.5 9.780291994342226
r2fs        0.18 0.5 9.780291994342226
L0Learn     0.12 0.14285714285714285 9.866666950460548
L0L1Learn   0.34 0.83 9.601377523501215
L0L2Learn   0.28 0.5172413793103449 9.66071772396836
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.38 0.8633093525179856 9.820451522596306
rLasso      0.42 0.8734939759036144 9.813479855235528
MCP         0.14 0.8205128205128205 10.171740704537628
fs          0.0 NaN 10.250078080499021
r1fs        0.1 0.8611111111111112 10.190739597016169
r2fs        0.08 0.8888888888888888 10.488463419741297
L0Learn     0.04 0.3333333333333333 10.285909524317562
L0L1Learn   0.28 0.8333333333333334 9.874180283699735
L0L2Learn   0.32 0.8383838383838383 9.798919239062911
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.42 0.8900523560209425 9.701459495522972
rLasso      0.42 0.8900523560209425 9.721143711949326
MCP         0.22 0.7441860465116279 9.905881370139317
fs          0.0 NaN 10.034167490722304
r1fs        0.18 0.7428571428571429 9.84651896106693
r2fs        0.14 0.8 10.095051819902348
L0Learn     0.02 0.6666666666666666 10.408887944703174
L0L1Learn   0.22 0.75 9.85824165684123
L0L2Learn   0.32 0.7808219178082192 9.726205017803181
Instance 7
Method Accuracy FPR RMSE 
Lasso       0.38 0.8967391304347826 9.719350397041165
rLasso      0.16 0.2727272727272727 9.689737074353813
MCP         0.16 0.6190476190476191 9.80244023496953
fs          0.0 1.0 10.124454748564771
r1fs        0.14 0.6818181818181818 9.729742177399691
r2fs        0.14 0.6818181818181818 9.729742177399691
L0Learn     0.0 1.0 10.124454748564771
L0L1Learn   0.16 0.5 9.785677104198678
L0L2Learn   0.36 0.797752808988764 9.693960689179276
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.3 0.7945205479452054 10.31797509880691
rLasso      0.22 0.7924528301886793 10.318071190023844
MCP         0.14 0.7666666666666667 10.425801582870774
fs          0.02 0.5 10.48662101534114
r1fs        0.12 0.8 10.477216698994992
r2fs        0.08 0.8666666666666667 10.965004769527269
L0Learn     0.02 0.5 10.486621058407437
L0L1Learn   0.02 0.5 10.47567893335336
L0L2Learn   0.26 0.7719298245614035 10.364765508525355
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.52 0.8289473684210527 9.239542101026458
rLasso      0.5 0.8031496062992126 9.217066727329158
MCP         0.28 0.6216216216216216 9.434462975416983
fs          0.02 0.0 9.753734296034894
r1fs        0.04 0.3333333333333333 9.65968568184254
r2fs        0.04 0.3333333333333333 9.65968568184254
L0Learn     0.02 0.0 9.753734296034892
L0L1Learn   0.32 0.6981132075471698 9.288825810538539
L0L2Learn   0.3 0.6153846153846154 9.41277391511209
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.48 0.899581589958159 9.290356231825065
rLasso      0.3 0.8854961832061069 9.273974198617033
MCP         0.16 0.8666666666666667 9.453103500322937
fs          0.06 0.7 9.809789185863702
r1fs        0.1 0.8 9.353508226323761
r2fs        0.1 0.8 9.353508226323761
L0Learn     0.04 0.6666666666666666 9.628803972837833
L0L1Learn   0.3 0.8314606741573034 9.254787178750476
L0L2Learn   0.32 0.8367346938775511 9.309541773614457
Average
 Method Accuracy FPR RMSE
Lasso         0.40599999999999997 0.8598076916752951 9.703877101797213
rLasso        0.324 0.711690995969266 9.710459248198575
MCP           0.198 0.7370122036560522 9.832506056114282
fs            0.028000000000000004 0.3321428571428572 10.083728866853479
r1fs          0.12600000000000003 0.6387669191456097 9.86905192153119
r2fs          0.094 0.6892273181105016 10.07207830281954
L0Learn       0.032 0.33095238095238094 10.095529725604028
L0L1Learn     0.238 0.6751212490009748 9.761102746835856
L0L2Learn     0.30799999999999994 0.7483783929936543 9.753758303260877
