Number of data points:1500
Instance 1
Method Accuracy FPR RMSE 
Lasso       0.98 0.8623595505617978 8.036855036679656
rLasso      0.84 0.3225806451612903 7.836580824225064
MCP         0.9 0.7527472527472527 7.676651785380429
fs          0.84 0.10638297872340426 7.549981434571887
r1fs        0.84 0.10638297872340426 7.5302331144690156
r2fs        0.84 0.10638297872340426 7.5302331144690156
L0Learn     0.86 0.10416666666666667 7.583634083567928
L0L1Learn   0.88 0.15384615384615385 7.513824340633872
L0L2Learn   0.88 0.16981132075471697 7.53131058674845
Instance 2
Method Accuracy FPR RMSE 
Lasso       1.0 0.8648648648648649 8.260462287623938
rLasso      0.92 0.5740740740740741 8.111926892264304
MCP         0.94 0.6594202898550725 7.978159616288953
fs          0.84 0.14285714285714285 8.038848766147725
r1fs        0.88 0.22807017543859648 7.954294272199379
r2fs        0.88 0.22807017543859648 7.954294272199379
L0Learn     0.8 0.047619047619047616 7.979318342451325
L0L1Learn   0.9 0.08163265306122448 7.787188045916053
L0L2Learn   0.94 0.09615384615384616 7.723633723774201
Instance 3
Method Accuracy FPR RMSE 
Lasso       1.0 0.84472049689441 8.007213407358952
rLasso      1.0 0.3902439024390244 7.62959130186289
MCP         0.9 0.6511627906976745 7.746468585669033
fs          0.9 0.1346153846153846 7.605719563880873
r1fs        0.9 0.1346153846153846 7.567156409514759
r2fs        0.9 0.1346153846153846 7.567156409514759
L0Learn     0.92 0.11538461538461539 7.528085854667606
L0L1Learn   0.92 0.09803921568627451 7.491533573151617
L0L2Learn   0.94 0.12962962962962962 7.4990872393566965
Instance 4
Method Accuracy FPR RMSE 
Lasso       1.0 0.8774509803921569 8.451720746579362
rLasso      0.96 0.5752212389380531 8.229070197952618
MCP         0.92 0.7195121951219512 8.066812355203522
fs          0.94 0.0784313725490196 7.7187529108349535
r1fs        0.94 0.0784313725490196 7.706456879956918
r2fs        0.94 0.0784313725490196 7.706456879956918
L0Learn     0.96 0.09433962264150944 7.746583627587128
L0L1Learn   0.94 0.09615384615384616 7.679209572406112
L0L2Learn   0.96 0.07692307692307693 7.6496651209585815
Instance 5
Method Accuracy FPR RMSE 
Lasso       1.0 0.8680738786279684 7.612446883953098
rLasso      0.98 0.608 7.5275064107036105
MCP         0.88 0.7456647398843931 7.518368981784178
fs          0.84 0.14285714285714285 7.470319081131076
r1fs        0.88 0.3125 7.394945721408314
r2fs        0.88 0.3125 7.394945721408314
L0Learn     0.84 0.17647058823529413 7.5915966159467425
L0L1Learn   0.86 0.14 7.42651937026158
L0L2Learn   0.86 0.14 7.424627720833499
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.96 0.8554216867469879 8.089022333764623
rLasso      0.84 0.391304347826087 7.91228766454262
MCP         0.92 0.6870748299319728 7.817385645259096
fs          0.76 0.15555555555555556 8.044682095271721
r1fs        0.9 0.3918918918918919 7.811316383588807
r2fs        0.9 0.3918918918918919 7.811316383588807
L0Learn     0.84 0.3333333333333333 7.964118587617787
L0L1Learn   0.9 0.21052631578947367 7.639449890012254
L0L2Learn   0.82 0.08888888888888889 7.762324771845739
Instance 7
Method Accuracy FPR RMSE 
Lasso       1.0 0.868421052631579 8.119447767365756
rLasso      0.84 0.3 7.6864943445029486
MCP         0.98 0.7655502392344498 7.706791390151871
fs          0.96 0.058823529411764705 7.164386374969827
r1fs        0.96 0.058823529411764705 7.156923798153695
r2fs        0.96 0.058823529411764705 7.156923798153695
L0Learn     1.0 0.038461538461538464 7.173830270826645
L0L1Learn   1.0 0.038461538461538464 7.136297721337466
L0L2Learn   1.0 0.05660377358490566 7.140740124044773
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.94 0.8766404199475065 8.24709912186757
rLasso      0.8 0.3103448275862069 7.908304582044833
MCP         0.9 0.7204968944099379 7.866854470196032
fs          0.78 0.15217391304347827 7.707680638206495
r1fs        0.78 0.15217391304347827 7.713345077826514
r2fs        0.78 0.15217391304347827 7.713345077826514
L0Learn     0.82 0.08888888888888889 7.872795148178344
L0L1Learn   0.9 0.1346153846153846 7.635922031127874
L0L2Learn   0.9 0.1346153846153846 7.635865510009141
Instance 9
Method Accuracy FPR RMSE 
Lasso       1.0 0.8511904761904762 8.289541088687441
rLasso      0.92 0.3333333333333333 7.801195649411802
MCP         0.88 0.6422764227642277 7.956008395382534
fs          0.84 0.23636363636363636 7.920663813844422
r1fs        0.84 0.23636363636363636 7.892780197893155
r2fs        0.84 0.23636363636363636 7.892780197893155
L0Learn     0.9 0.1509433962264151 7.777551040026973
L0L1Learn   0.98 0.057692307692307696 7.52959769050881
L0L2Learn   1.0 0.038461538461538464 7.5144358876393555
Instance 10
Method Accuracy FPR RMSE 
Lasso       1.0 0.8281786941580757 8.070497356828529
rLasso      0.98 0.4787234042553192 7.7894820894267625
MCP         0.96 0.5596330275229358 7.758770932886921
fs          0.96 0.09433962264150944 7.349158840176745
r1fs        0.96 0.09433962264150944 7.377176236140452
r2fs        0.96 0.09433962264150944 7.377176236140452
L0Learn     0.92 0.09803921568627451 7.655679742448636
L0L1Learn   0.96 0.04 7.324238081928976
L0L2Learn   0.96 0.058823529411764705 7.332075406832552
Average
 Method Accuracy FPR RMSE
Lasso         0.9880000000000001 0.8597322101015823 8.118430603070893
rLasso        0.908 0.4283825773613388 7.843243995693745
MCP           0.9179999999999999 0.6903538682169869 7.809227215820256
fs            0.866 0.13024002786180383 7.657019351903573
r1fs          0.8880000000000001 0.17935925046786855 7.610462809115103
r2fs          0.8880000000000001 0.17935925046786855 7.610462809115103
L0Learn       0.8860000000000001 0.12476469131435837 7.687319331331912
L0L1Learn     0.9240000000000002 0.10509674153062035 7.516378031728462
L0L2Learn     0.9260000000000002 0.0989910988423752 7.5213766092043
