Number of data points:1400
Instance 1
Method Accuracy FPR RMSE 
Lasso       0.98 0.8541666666666666 8.079811548826157
rLasso      0.88 0.42105263157894735 7.788215066534407
MCP         0.94 0.7116564417177914 7.78635960084102
fs          0.84 0.14285714285714285 7.690709436484426
r1fs        0.9 0.3181818181818182 7.738362006629641
r2fs        0.9 0.3181818181818182 7.738362006629641
L0Learn     0.84 0.16 7.804786458119302
L0L1Learn   0.88 0.08333333333333333 7.55858795592252
L0L2Learn   0.88 0.12 7.607250284929279
Instance 2
Method Accuracy FPR RMSE 
Lasso       1.0 0.8579545454545454 8.201460836580978
rLasso      0.96 0.4838709677419355 7.894666158786018
MCP         0.96 0.5428571428571428 7.755412117167279
fs          0.9 0.25 7.812651291871325
r1fs        0.9 0.25 7.768952436248069
r2fs        0.9 0.25 7.768952436248069
L0Learn     0.9 0.25 7.885003400452016
L0L1Learn   0.92 0.23333333333333334 7.747185447280548
L0L2Learn   0.88 0.16981132075471697 7.689173891726217
Instance 3
Method Accuracy FPR RMSE 
Lasso       1.0 0.8694516971279374 8.135709606665609
rLasso      0.84 0.391304347826087 7.800047541398123
MCP         0.94 0.6907894736842105 7.757572149694267
fs          0.82 0.2545454545454545 7.808160612415554
r1fs        0.82 0.2545454545454545 7.729871587039162
r2fs        0.82 0.2545454545454545 7.729871587039162
L0Learn     0.86 0.14 7.638709239373136
L0L1Learn   0.88 0.13725490196078433 7.555663073495016
L0L2Learn   0.88 0.13725490196078433 7.542286927293521
Instance 4
Method Accuracy FPR RMSE 
Lasso       0.98 0.8532934131736527 8.159421919921975
rLasso      0.96 0.5384615384615384 7.798073104960133
MCP         0.92 0.640625 7.706281808091549
fs          0.84 0.17647058823529413 7.604012309945352
r1fs        0.86 0.24561403508771928 7.636750034320786
r2fs        0.86 0.24561403508771928 7.636750034320786
L0Learn     0.86 0.2037037037037037 7.735736684337008
L0L1Learn   0.94 0.1896551724137931 7.525243157808954
L0L2Learn   0.94 0.16071428571428573 7.4786589621024895
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.98 0.8743589743589744 8.195756685440681
rLasso      0.88 0.5 8.027556280264534
MCP         0.86 0.6928571428571428 8.008138273628639
fs          0.7 0.2553191489361702 8.161840523503653
r1fs        0.7 0.2553191489361702 8.108190597642775
r2fs        0.7 0.2553191489361702 8.108190597642775
L0Learn     0.76 0.2549019607843137 8.186813914599266
L0L1Learn   0.9 0.11764705882352941 7.60617091127699
L0L2Learn   0.9 0.11764705882352941 7.594819941941418
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.98 0.8496932515337423 7.837814888419435
rLasso      0.9 0.5 7.643406186785931
MCP         0.92 0.6229508196721312 7.576979442527431
fs          0.86 0.044444444444444446 7.39976726846359
r1fs        0.86 0.044444444444444446 7.369320454576344
r2fs        0.86 0.044444444444444446 7.369320454576344
L0Learn     0.86 0.1568627450980392 7.608183107558802
L0L1Learn   0.88 0.022222222222222223 7.3213837464774985
L0L2Learn   0.88 0.022222222222222223 7.3329656517135495
Instance 7
Method Accuracy FPR RMSE 
Lasso       0.96 0.8772378516624041 7.993109149150207
rLasso      0.88 0.5217391304347826 7.841430324458542
MCP         0.9 0.7222222222222222 7.642424984542952
fs          0.82 0.14583333333333334 7.526592205064439
r1fs        0.82 0.14583333333333334 7.517845755762846
r2fs        0.82 0.14583333333333334 7.517845755762846
L0Learn     0.82 0.14583333333333334 7.587740068219875
L0L1Learn   0.9 0.1 7.389967886074286
L0L2Learn   0.9 0.1346153846153846 7.438677646879975
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.98 0.8713910761154856 7.907835869801832
rLasso      0.9 0.4444444444444444 7.647555126771306
MCP         0.96 0.6129032258064516 7.545805972189736
fs          0.86 0.12244897959183673 7.465147526275009
r1fs        0.86 0.12244897959183673 7.456773809678378
r2fs        0.86 0.12244897959183673 7.456773809678378
L0Learn     0.86 0.12244897959183673 7.454817382959628
L0L1Learn   0.88 0.08333333333333333 7.376200671532318
L0L2Learn   0.88 0.10204081632653061 7.4118179184376345
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.96 0.8628571428571429 8.162167545281124
rLasso      0.92 0.5533980582524272 7.837009207573357
MCP         0.86 0.7171052631578947 7.801362403050757
fs          0.8 0.2 7.760032349599555
r1fs        0.8 0.2 7.738441826266473
r2fs        0.8 0.2 7.738441826266473
L0Learn     0.78 0.1875 7.8533013174966815
L0L1Learn   0.92 0.1320754716981132 7.474770032607865
L0L2Learn   0.92 0.1320754716981132 7.475129712127162
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.98 0.8638888888888889 8.079516490002282
rLasso      0.88 0.42105263157894735 7.764144318783
MCP         0.84 0.6818181818181818 7.940135246747114
fs          0.8 0.2982456140350877 8.066569626151791
r1fs        0.8 0.2982456140350877 7.9116160078910385
r2fs        0.8 0.2982456140350877 7.9116160078910385
L0Learn     0.78 0.1702127659574468 7.910497671500784
L0L1Learn   0.88 0.26666666666666666 7.6690928277501795
L0L2Learn   0.8 0.16666666666666666 7.7200191074169995
Average
 Method Accuracy FPR RMSE
Lasso         0.9800000000000001 0.8634293507839439 8.075260454009028
rLasso        0.9000000000000001 0.47753237503191104 7.804210331631535
MCP           0.9099999999999999 0.6635784913793169 7.752047199848076
fs            0.8240000000000001 0.18901647059787638 7.729548314977469
r1fs          0.8320000000000001 0.2134632828155864 7.697612451605552
r2fs          0.8320000000000001 0.2134632828155864 7.697612451605552
L0Learn       0.8320000000000001 0.17914634884686736 7.766558924461648
L0L1Learn     0.8980000000000002 0.1365521493785109 7.522426571022618
L0L2Learn     0.8860000000000001 0.1263048128782234 7.529080004456825
