Number of data points:900
Instance 1
Method Accuracy FPR RMSE 
Lasso       0.82 0.8503649635036497 8.801669990014819
rLasso      0.8 0.7938144329896907 8.771552068442718
MCP         0.64 0.68 8.747060357324008
fs          0.64 0.39622641509433965 8.992026511830716
r1fs        0.64 0.41818181818181815 8.593115668755821
r2fs        0.64 0.41818181818181815 8.593115668755821
L0Learn     0.38 0.36666666666666664 9.313691408486806
L0L1Learn   0.68 0.5641025641025641 8.602222704494887
L0L2Learn   0.52 0.43478260869565216 8.821689478291338
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.76 0.887905604719764 8.929270737224451
rLasso      0.76 0.9002624671916011 8.93157230770648
MCP         0.52 0.7570093457943925 9.152967061853616
fs          0.28 0.2631578947368421 9.567053763236878
r1fs        0.54 0.6931818181818182 8.779464095302087
r2fs        0.44 0.75 10.85816168143399
L0Learn     0.3 0.34782608695652173 9.806117952136216
L0L1Learn   0.38 0.36666666666666664 8.956586192446652
L0L2Learn   0.32 0.3333333333333333 9.052795097695016
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.78 0.8452380952380952 8.98427360172937
rLasso      0.7 0.7131147540983607 9.035042021636842
MCP         0.74 0.6442307692307693 8.97025723209887
fs          0.6 0.4 9.222990716595776
r1fs        0.66 0.5285714285714286 8.786620404862317
r2fs        0.66 0.5285714285714286 8.786620404862317
L0Learn     0.56 0.36363636363636365 9.618129102728991
L0L1Learn   0.5 0.24242424242424243 9.018921467730282
L0L2Learn   0.52 0.2777777777777778 8.876648735828958
Instance 4
Method Accuracy FPR RMSE 
Lasso       0.86 0.8469750889679716 8.893689147660448
rLasso      0.86 0.8307086614173228 8.878656846429605
MCP         0.78 0.7022900763358778 8.848980318810032
fs          0.52 0.2571428571428571 9.1833087993226
r1fs        0.52 0.2571428571428571 8.96821955028104
r2fs        0.52 0.2571428571428571 8.96821955028104
L0Learn     0.58 0.21621621621621623 9.296617125146858
L0L1Learn   0.64 0.28888888888888886 8.577488015403693
L0L2Learn   0.62 0.32608695652173914 8.681918707254884
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.74 0.8598484848484849 9.001721589520653
rLasso      0.62 0.6352941176470588 8.928113266508282
MCP         0.7 0.7033898305084746 8.799977580058092
fs          0.44 0.2413793103448276 9.247073072947233
r1fs        0.44 0.2413793103448276 9.006169850369686
r2fs        0.44 0.2413793103448276 9.006169850369686
L0Learn     0.36 0.18181818181818182 9.35623591766868
L0L1Learn   0.52 0.38095238095238093 8.952892497812913
L0L2Learn   0.46 0.17857142857142858 8.937006670997853
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.74 0.8745762711864407 8.882688913135638
rLasso      0.66 0.7591240875912408 8.934312712887337
MCP         0.56 0.7522123893805309 8.844420826737368
fs          0.26 0.3157894736842105 9.317555239537624
r1fs        0.46 0.6933333333333334 8.907750971063374
r2fs        0.44 0.7066666666666667 10.526573021160504
L0Learn     0.26 0.2777777777777778 9.298911764701478
L0L1Learn   0.42 0.475 9.070764365353584
L0L2Learn   0.46 0.4523809523809524 8.91685070263257
Instance 7
Method Accuracy FPR RMSE 
Lasso       0.76 0.875 9.331439240944926
rLasso      0.74 0.8203883495145631 9.289430695885587
MCP         0.64 0.7264957264957265 9.184730715503736
fs          0.4 0.13043478260869565 9.415146503452398
r1fs        0.52 0.6867469879518072 9.361013966888404
r2fs        0.46 0.7228915662650602 11.782197018623075
L0Learn     0.36 0.1 9.456387676820745
L0L1Learn   0.56 0.4166666666666667 9.089790961181201
L0L2Learn   0.54 0.41304347826086957 9.189590366348819
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.84 0.83399209486166 8.784481838181584
rLasso      0.7 0.6464646464646465 8.712430091278936
MCP         0.66 0.7053571428571429 8.758869915624791
fs          0.34 0.2608695652173913 9.270125205967771
r1fs        0.52 0.6623376623376623 8.938106017392878
r2fs        0.48 0.6883116883116883 10.058947548120795
L0Learn     0.16 0.1111111111111111 9.568731829294617
L0L1Learn   0.58 0.30952380952380953 8.80840696702708
L0L2Learn   0.48 0.3142857142857143 8.815545805494876
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.74 0.8895522388059701 8.90675692205791
rLasso      0.7 0.8616600790513834 8.90444548362026
MCP         0.5 0.7983870967741935 9.075701368751972
fs          0.2 0.3333333333333333 9.474511471233319
r1fs        0.38 0.6122448979591837 9.08518224766303
r2fs        0.38 0.6122448979591837 9.08518224766303
L0Learn     0.2 0.3333333333333333 9.453801087412748
L0L1Learn   0.56 0.6666666666666666 9.011794396305492
L0L2Learn   0.58 0.7070707070707071 9.000516071072981
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.66 0.8858131487889274 9.095363344240418
rLasso      0.64 0.8699186991869918 9.0973257548849
MCP         0.48 0.75 9.088959007043782
fs          0.16 0.38461538461538464 9.798045603918743
r1fs        0.32 0.6923076923076923 9.368112653426103
r2fs        0.32 0.6923076923076923 9.368112653426103
L0Learn     0.22 0.42105263157894735 9.738729433477461
L0L1Learn   0.4 0.47368421052631576 9.348417029416046
L0L2Learn   0.44 0.5510204081632653 9.190782438969697
Average
 Method Accuracy FPR RMSE
Lasso         0.77 0.8649265990920962 8.961135532471022
rLasso        0.718 0.7830750295152861 8.948288124928094
MCP           0.6220000000000001 0.7219372377377107 8.947192438380627
fs            0.384 0.29829490167778816 9.348783688804303
r1fs          0.5000000000000001 0.5485427806312428 8.979375542600474
r2fs          0.47800000000000004 0.5617697925751223 9.703329964469637
L0Learn       0.33799999999999997 0.271943836909512 9.49073532978746
L0L1Learn     0.524 0.4184576096418201 8.943728459717182
L0L2Learn     0.49400000000000005 0.39883533650614394 8.948334407458699
