Number of data points:1000
Instance 1
Method Accuracy FPR RMSE 
Lasso       0.82 0.8879781420765027 8.856308643280364
rLasso      0.64 0.4838709677419355 8.73696458521491
MCP         0.7 0.6929824561403509 8.731263424554042
fs          0.58 0.49122807017543857 9.600546875368384
r1fs        0.6 0.620253164556962 8.866596242162302
r2fs        0.6 0.620253164556962 8.866596242162302
L0Learn     0.52 0.35 9.406308291090198
L0L1Learn   0.68 0.47692307692307695 8.949326089186261
L0L2Learn   0.6 0.375 8.913109466545592
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.88 0.8702064896755162 8.479808204535127
rLasso      0.88 0.8854166666666666 8.479973281211448
MCP         0.8 0.6875 8.313551143302728
fs          0.54 0.2702702702702703 8.621843804956907
r1fs        0.68 0.4925373134328358 8.279487917095167
r2fs        0.68 0.4925373134328358 8.279487917095167
L0Learn     0.38 0.20833333333333334 9.31157237918142
L0L1Learn   0.7 0.2391304347826087 8.016234206100181
L0L2Learn   0.68 0.17073170731707318 8.037663808096376
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.94 0.8853658536585366 8.766631871495633
rLasso      0.94 0.8962472406181016 8.804753777323743
MCP         0.76 0.7579617834394905 8.603696755668729
fs          0.56 0.36363636363636365 9.002644690449781
r1fs        0.64 0.6701030927835051 8.837767247444209
r2fs        0.64 0.6701030927835051 8.837767247444209
L0Learn     0.54 0.38636363636363635 9.130672986576329
L0L1Learn   0.68 0.38181818181818183 8.784245204988425
L0L2Learn   0.64 0.41818181818181815 8.574317657672577
Instance 4
Method Accuracy FPR RMSE 
Lasso       0.92 0.8496732026143791 8.694378382950529
rLasso      0.84 0.7162162162162162 8.583327799008936
MCP         0.82 0.7092198581560284 8.49000666239259
fs          0.54 0.06896551724137931 8.925504752493685
r1fs        0.78 0.4583333333333333 8.39866269491824
r2fs        0.78 0.4583333333333333 8.39866269491824
L0Learn     0.74 0.3392857142857143 8.843394627537762
L0L1Learn   0.72 0.23404255319148937 8.449768279521605
L0L2Learn   0.74 0.27450980392156865 8.397731631537026
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.9 0.8514851485148515 8.63275385196224
rLasso      0.72 0.625 8.561341650934926
MCP         0.78 0.6422018348623854 8.47511929456243
fs          0.7 0.4067796610169492 8.773489315347922
r1fs        0.7 0.4067796610169492 8.410901537208332
r2fs        0.7 0.4067796610169492 8.410901537208332
L0Learn     0.44 0.2903225806451613 9.476722887616422
L0L1Learn   0.8 0.3220338983050847 8.259248994456348
L0L2Learn   0.82 0.3050847457627119 8.289857660374947
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.78 0.8464566929133859 8.835498473079959
rLasso      0.64 0.5294117647058824 8.733397253541106
MCP         0.64 0.6981132075471698 8.935415843795079
fs          0.46 0.425 9.389724925696571
r1fs        0.46 0.425 8.912754776902176
r2fs        0.46 0.425 8.912754776902176
L0Learn     0.54 0.3076923076923077 9.036716541714021
L0L1Learn   0.48 0.5 9.070383233507892
L0L2Learn   0.64 0.42857142857142855 8.713928625930075
Instance 7
Method Accuracy FPR RMSE 
Lasso       0.92 0.8535031847133758 8.273427828887877
rLasso      0.86 0.6614173228346457 8.196069150366876
MCP         0.84 0.671875 8.27326536330679
fs          0.58 0.23684210526315788 8.64673043145542
r1fs        0.58 0.23684210526315788 8.39639112799792
r2fs        0.58 0.23684210526315788 8.39639112799792
L0Learn     0.58 0.23684210526315788 8.67267221619642
L0L1Learn   0.76 0.3090909090909091 8.374013379414087
L0L2Learn   0.76 0.3090909090909091 8.359620501431896
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.86 0.8537414965986394 8.628704248551948
rLasso      0.64 0.38461538461538464 8.531221632164327
MCP         0.72 0.6727272727272727 8.679886243012927
fs          0.56 0.40425531914893614 9.154291914638224
r1fs        0.56 0.40425531914893614 8.829200242115924
r2fs        0.56 0.40425531914893614 8.829200242115924
L0Learn     0.56 0.391304347826087 9.377270920380568
L0L1Learn   0.66 0.21428571428571427 8.310401987263626
L0L2Learn   0.68 0.2765957446808511 8.325590227617752
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.86 0.8475177304964538 8.550419300047713
rLasso      0.6 0.47368421052631576 8.651273997993334
MCP         0.68 0.7043478260869566 8.52602253770143
fs          0.6 0.23076923076923078 8.426815782807141
r1fs        0.6 0.23076923076923078 8.332817028629083
r2fs        0.6 0.23076923076923078 8.332817028629083
L0Learn     0.58 0.32558139534883723 8.832760893258735
L0L1Learn   0.6 0.34782608695652173 8.35526678141267
L0L2Learn   0.54 0.22857142857142856 8.52726151981599
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.88 0.8151260504201681 8.641090657829547
rLasso      0.62 0.3673469387755102 8.612200565185262
MCP         0.72 0.6727272727272727 8.685319360583275
fs          0.54 0.3076923076923077 8.952715441182098
r1fs        0.64 0.4666666666666667 8.636779101105294
r2fs        0.64 0.4666666666666667 8.636779101105294
L0Learn     0.46 0.28125 9.056450103273148
L0L1Learn   0.68 0.4603174603174603 8.777450728955067
L0L2Learn   0.54 0.2702702702702703 8.663548920568164
Average
 Method Accuracy FPR RMSE
Lasso         0.8760000000000001 0.8561053991681812 8.635902146262094
rLasso        0.7379999999999999 0.6023226712700659 8.589052369294487
MCP           0.7459999999999998 0.6909656511686928 8.571354662888002
fs            0.566 0.32054388452140337 8.949430793439612
r1fs          0.6239999999999999 0.4411539886971577 8.590135791557863
r2fs          0.6239999999999999 0.4411539886971577 8.590135791557863
L0Learn       0.534 0.3116975420758235 9.114454184682504
L0L1Learn     0.6759999999999999 0.34854683156710475 8.534633888480617
L0L2Learn     0.6639999999999999 0.30566078563680593 8.48026300195904
