Number of data points:1800
Instance 1
Method Accuracy FPR RMSE 
Lasso       1.0 0.8226950354609929 7.778003777123188
rLasso      1.0 0.3670886075949367 7.553717624950098
MCP         1.0 0.7222222222222222 7.443084529382448
fs          0.96 0.0 7.221193367821318
r1fs        0.96 0.0 7.220236519564706
r2fs        0.96 0.0 7.220236519564706
L0Learn     0.98 0.0 7.229087823186844
L0L1Learn   0.98 0.0392156862745098 7.17957993570203
L0L2Learn   0.98 0.0392156862745098 7.173120515982457
Instance 2
Method Accuracy FPR RMSE 
Lasso       1.0 0.8245614035087719 7.512950905751157
rLasso      1.0 0.2537313432835821 7.1549370630738505
MCP         0.98 0.6287878787878788 7.22452156716556
fs          0.94 0.0784313725490196 7.238030804770907
r1fs        0.94 0.0784313725490196 7.210599878793062
r2fs        0.94 0.0784313725490196 7.210599878793062
L0Learn     0.96 0.058823529411764705 7.240892856153835
L0L1Learn   1.0 0.0196078431372549 7.032857274639461
L0L2Learn   1.0 0.0196078431372549 7.024930341225842
Instance 3
Method Accuracy FPR RMSE 
Lasso       1.0 0.8392282958199357 8.057425452897352
rLasso      0.96 0.1864406779661017 7.5502023078261615
MCP         0.96 0.7391304347826086 7.705558027791837
fs          0.92 0.08 7.546968319204379
r1fs        0.92 0.08 7.550466047848085
r2fs        0.92 0.08 7.550466047848085
L0Learn     0.9 0.0625 7.603728475385172
L0L1Learn   0.92 0.041666666666666664 7.483700526890717
L0L2Learn   0.92 0.041666666666666664 7.4792420941958095
Instance 4
Method Accuracy FPR RMSE 
Lasso       1.0 0.8655913978494624 8.344332326199483
rLasso      0.94 0.27692307692307694 7.828841886673728
MCP         0.9 0.697986577181208 8.010189862114606
fs          0.98 0.057692307692307696 7.5562230449954635
r1fs        0.98 0.057692307692307696 7.567515034321157
r2fs        0.98 0.057692307692307696 7.567515034321157
L0Learn     0.9 0.1509433962264151 7.856199339541595
L0L1Learn   0.98 0.0392156862745098 7.592316951147975
L0L2Learn   0.96 0.058823529411764705 7.6334828258412
Instance 5
Method Accuracy FPR RMSE 
Lasso       1.0 0.8554913294797688 7.920133795474667
rLasso      0.98 0.2898550724637681 7.5061491466842725
MCP         0.98 0.5775862068965517 7.53291007421548
fs          0.96 0.058823529411764705 7.366413616167511
r1fs        0.96 0.058823529411764705 7.369776671518725
r2fs        0.96 0.058823529411764705 7.369776671518725
L0Learn     0.98 0.02 7.400135991457107
L0L1Learn   0.98 0.02 7.29561130204406
L0L2Learn   0.98 0.02 7.293316100781569
Instance 6
Method Accuracy FPR RMSE 
Lasso       1.0 0.8759305210918115 7.779003347215377
rLasso      0.98 0.4787234042553192 7.560643825927347
MCP         0.92 0.6714285714285714 7.552229683449323
fs          0.94 0.11320754716981132 7.383636571654585
r1fs        0.94 0.11320754716981132 7.373468614103413
r2fs        0.94 0.11320754716981132 7.373468614103413
L0Learn     0.96 0.04 7.306471131198301
L0L1Learn   0.98 0.07547169811320754 7.317879993186904
L0L2Learn   0.98 0.057692307692307696 7.274978189841342
Instance 7
Method Accuracy FPR RMSE 
Lasso       1.0 0.892933618843683 7.957144980375386
rLasso      0.92 0.3611111111111111 7.673830652201335
MCP         0.94 0.6758620689655173 7.692666439148394
fs          0.94 0.020833333333333332 7.301701330398938
r1fs        0.94 0.020833333333333332 7.302229969629418
r2fs        0.94 0.020833333333333332 7.302229969629418
L0Learn     0.94 0.020833333333333332 7.319901768466868
L0L1Learn   0.94 0.020833333333333332 7.32502190093123
L0L2Learn   0.94 0.06 7.339440036077228
Instance 8
Method Accuracy FPR RMSE 
Lasso       0.96 0.8790931989924433 7.851204632111262
rLasso      0.9 0.21052631578947367 7.400409230129322
MCP         0.96 0.6962025316455697 7.376861143809936
fs          0.9 0.1346153846153846 7.332670008889218
r1fs        0.9 0.1346153846153846 7.330773214484961
r2fs        0.9 0.1346153846153846 7.330773214484961
L0Learn     0.96 0.02040816326530612 7.189607345963625
L0L1Learn   0.96 0.02040816326530612 7.164416642930457
L0L2Learn   0.96 0.02040816326530612 7.164169738899464
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.98 0.8164794007490637 7.845769278457904
rLasso      0.84 0.288135593220339 7.664496853988602
MCP         0.92 0.5619047619047619 7.520638938392166
fs          0.9 0.0425531914893617 7.3584625094625995
r1fs        0.9 0.0425531914893617 7.3505421292395825
r2fs        0.9 0.0425531914893617 7.3505421292395825
L0Learn     0.92 0.02127659574468085 7.316056282161612
L0L1Learn   0.92 0.02127659574468085 7.304109972003483
L0L2Learn   0.92 0.02127659574468085 7.2970716243682565
Instance 10
Method Accuracy FPR RMSE 
Lasso       1.0 0.8759305210918115 8.195691434689097
rLasso      0.96 0.26153846153846155 7.819221522746468
MCP         0.96 0.7538461538461538 7.907213236657383
fs          0.9 0.0625 7.659757366498381
r1fs        0.9 0.0625 7.660025666897576
r2fs        0.9 0.0625 7.660025666897576
L0Learn     0.92 0.041666666666666664 7.719808805180204
L0L1Learn   0.96 0.1111111111111111 7.670377187826957
L0L2Learn   0.96 0.1111111111111111 7.665737841774246
Average
 Method Accuracy FPR RMSE
Lasso         0.994 0.8547934722887744 7.924165993029488
rLasso        0.9480000000000001 0.29740736641461696 7.571245011420119
MCP           0.952 0.6724957407661043 7.5965873502127135
fs            0.9339999999999999 0.0648656666260983 7.39650569398633
r1fs          0.9339999999999999 0.0648656666260983 7.3935633746400695
r2fs          0.9339999999999999 0.0648656666260983 7.3935633746400695
L0Learn       0.942 0.043645168464816676 7.418188981869517
L0L1Learn     0.9620000000000001 0.040880678392058015 7.336587168730327
L0L2Learn     0.9600000000000002 0.04498019033036018 7.334548930898741
